id_customer,customer_name,segment
CG-12520,Claire Gute,Consumer
DV-13045,Darrin Van Huff,Corporate
SO-20335,Sean O'Donnell,Consumer
BH-11710,Brosina Hoffman,Consumer
AA-10480,Andrew Allen,Consumer
IM-15070,Irene Maddox,Consumer
HP-14815,Harold Pawlan,Home Office
PK-19075,Pete Kriz,Consumer
AG-10270,Alejandro Grove,Consumer
ZD-21925,Zuschuss Donatelli,Consumer
KB-16585,Ken Black,Corporate
SF-20065,Sandra Flanagan,Consumer
EB-13870,Emily Burns,Consumer
EH-13945,Eric Hoffmann,Consumer
TB-21520,Tracy Blumstein,Consumer
MA-17560,Matt Abelman,Home Office
GH-14485,Gene Hale,Corporate
SN-20710,Steve Nguyen,Home Office
LC-16930,Linda Cazamias,Corporate
RA-19885,Ruben Ausman,Corporate
ES-14080,Erin Smith,Corporate
ON-18715,Odella Nelson,Corporate
PO-18865,Patrick O'Donnell,Consumer
LH-16900,Lena Hernandez,Consumer
DP-13000,Darren Powers,Consumer
JM-15265,Janet Molinari,Corporate
TB-21055,Ted Butterfield,Consumer
KM-16720,Kunst Miller,Consumer
PS-18970,Paul Stevenson,Home Office
BS-11590,Brendan Sweed,Corporate
KD-16270,Karen Daniels,Consumer
HM-14980,Henry MacAllister,Consumer
JE-15745,Joel Eaton,Consumer
KB-16600,Ken Brennan,Corporate
SC-20770,Stewart Carmichael,Corporate
DN-13690,Duane Noonan,Consumer
JC-16105,Julie Creighton,Corporate
CS-12400,Christopher Schild,Home Office
PG-18895,Paul Gonzalez,Consumer
GM-14455,Gary Mitchum,Home Office
JS-15685,Jim Sink,Corporate
KB-16315,Karl Braun,Consumer
RB-19705,Roger Barcio,Home Office
PN-18775,Parhena Norris,Home Office
KD-16345,Katherine Ducich,Consumer
ER-13855,Elpida Rittenbach,Corporate
RB-19465,Rick Bensley,Home Office
GZ-14470,Gary Zandusky,Consumer
LC-16870,Lena Cacioppo,Consumer
JM-15250,Janet Martin,Consumer
PA-19060,Pete Armstrong,Home Office
CV-12805,Cynthia Voltz,Corporate
CL-12565,Clay Ludtke,Consumer
RC-19960,Ryan Crowe,Consumer
DK-13090,Dave Kipp,Consumer
GG-14650,Greg Guthrie,Corporate
SC-20725,Steven Cartwright,Consumer
AD-10180,Alan Dominguez,Home Office
PF-19165,Philip Fox,Consumer
TS-21610,Troy Staebel,Consumer
LS-16975,Lindsay Shagiari,Home Office
DW-13585,Dorothy Wardle,Corporate
LC-16885,Lena Creighton,Consumer
JD-15895,Jonathan Doherty,Corporate
SH-19975,Sally Hughsby,Corporate
SG-20080,Sandra Glassco,Consumer
HA-14920,Helen Andreada,Consumer
MG-17680,Maureen Gastineau,Home Office
JE-16165,Justin Ellison,Corporate
TW-21025,Tamara Willingham,Home Office
SP-20650,Stephanie Phelps,Corporate
NK-18490,Neil Knudson,Home Office
